"Path","LineNumber","Line"
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\abc-roofing.json","209","    ""roof"", ""roofing"", ""leak"", ""leaking"", ""shingles"", ""repair"","
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\abc-roofing.json","213","    ""estimate"", ""inspection"", ""contractor"", ""warranty"", ""insurance"""
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\default.json","5","  ""role"": ""AI business consultant"","
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\default.json","11","      ""intent_key"": ""WEBSITE"","
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\default.json","12","      ""name"": ""Website Development"","
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\default.json","13","      ""tagline"": ""Custom-built websites that convert visitors into clients"","
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\default.json","14","      ""description"": ""We build modern, high-performance websites tailored to your business ? whether it's a brand showcase, lead generation site, or full e-commerce platform."","
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\default.json","21","        ""no_website"": ""Without a website, potential clients can't find or trust your business online. A strong web presence changes that completely."","
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\default.json","22","        ""bad_website"": ""An outdated or slow website can actually drive clients away. A modern, fast site builds immediate credibility."","
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\default.json","23","        ""need_ecommerce"": ""Selling online opens your business to customers 24/7. A well-built store can significantly increase your revenue."","
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\default.json","24","        ""default"": ""Having the right website can be a real game-changer for your business. It becomes your best salesperson ? working around the clock."""
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\default.json","27","        ""website"", ""site"", ""web page"", ""webpage"", ""online presence"","
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\default.json","33","        ""need a website"", ""build a website"", ""want a site"","
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\default.json","34","        ""create a website"", ""design a website"", ""revamp my site"","
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\default.json","35","        ""update my website"""
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\default.json","40","          ""prompt"": ""What kind of website are you thinking ? something to showcase your business, an online store, or something else?"","
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\default.json","41","          ""expect"": ""type_of_website"""
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\default.json","55","          ""prompt"": ""Based on what you've shared, we can build something custom that actually works for your business ? not just looks good, but converts visitors into clients. Would you like to explore what that looks like for you specifically?"","
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\default.json","60","        ""Do you currently have a website, or would this be your first?"","
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\default.json","61","        ""What's the main goal for your website ? getting leads, selling products, or showcasing your work?"","
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\default.json","66","      ""intent_key"": ""SEO"","
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\default.json","67","      ""name"": ""SEO & Search Visibility"","
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\default.json","69","      ""description"": ""We help your business show up where your potential clients are already searching ? on Google and other search engines."","
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\default.json","79","        ""default"": ""Visibility is everything. When your business shows up at the right time, in front of the right people, growth becomes much more predictable."""
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\default.json","82","        ""seo"", ""search engine"", ""ranking"", ""google"", ""leads"","
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\default.json","105","          ""prompt"": ""When potential clients search for what you offer and you're not showing up ? those people go to your competitors instead. How much of your revenue do you think comes from people finding you online?"","
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\default.json","110","          ""prompt"": ""We help businesses build consistent organic visibility so leads come to you instead of you chasing them. The best part ? it compounds over time, unlike ads. Want to see how we'd approach this for your business specifically?"","
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\default.json","117","        ""How important is online visibility to your revenue?"""
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\default.json","133","        ""customer_support"": ""Imagine having a system that handles common client questions 24/7, instantly. That's what AI-powered assistants can do for your business."","
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\default.json","134","        ""default"": ""The smartest businesses are the ones that automate what they can and focus their people on what matters. We can help you do exactly that."""
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\default.json","142","        ""want automation"", ""need a chatbot"", ""automate my business"","
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\default.json","149","          ""prompt"": ""What processes in your business are eating up the most time right now?"","
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\default.json","164","          ""prompt"": ""We build systems that handle the repetitive work automatically ? client intake, follow-ups, data entry ? so your team can focus on what actually grows the business. Want me to show you what that could look like for you?"","
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\default.json","169","        ""What tasks or processes are taking up the most time in your business?"","
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\default.json","187","        ""mobile"": ""A mobile app puts your business directly in your clients' hands. The right app can transform how they interact with you."","
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\default.json","192","        ""tool"", ""desktop app"", ""mobile app"", ""ios"", ""android"","
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\default.json","233","      ""prompt"": ""We work across four areas: building websites that convert, increasing online visibility through SEO, AI and automation systems, and custom app development. Which of those feels closest to what you're dealing with?"","
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\default.json","243","  ""service_overview"": ""We help businesses grow in four key areas: building powerful websites, increasing visibility through search optimization, creating AI and automation systems that save time, and developing custom apps and software. Which of those sounds most relevant to what you're working on?"","
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\default.json","250","    ""Hey there! I'm an AI assistant for Genuine Optimum. I help businesses find the right tech solutions to grow. What brings you here today?"","
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\default.json","252","    ""Hello! I'm an AI assistant at Genuine Optimum. We help businesses leverage technology to scale. What challenge can I help you with today?"","
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\default.json","253","    ""Hey! I'm an AI assistant from Genuine Optimum ? here to help businesses solve real problems with smart technology. What are you working on right now?"""
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\default.json","257","    ""Hi! Welcome to {{company_name}}. What are you looking to improve in your business?"","
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\default.json","260","    ""Hey! I help businesses grow through {{service_summary}}. What are you working on?"","
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\default.json","261","    ""Hi ? great timing. What business challenge can I help you tackle today?"""
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\default.json","265","    ""I'm an AI business consultant for {{company_name}}. We help businesses grow through {{service_summary}}. What are you trying to improve?"","
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\default.json","266","    ""I'm here to help with business growth ? whether that's building a website, increasing your visibility online, or automating your operations. What's on your mind?"","
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\default.json","267","    ""{{company_name}} helps businesses leverage technology to scale. I identify the right solution for your specific situation. What challenge are you facing?"","
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\default.json","279","    ""Let me simplify ? are you looking for help with your business growth?"","
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\default.json","281","    ""Happy to help ? I just need a bit more to go on. What type of business do you run?"""
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\default.json","285","    ""That's outside what I can help with, but we do specialize in business growth systems. What are you looking to improve?"","
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\default.json","286","    ""I'm focused on business technology ? {{service_summary}}. Is there something along those lines I can help with?"","
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\default.json","287","    ""That's not our area, but if you're looking to grow your business with better technology, that's exactly what we do. What's the challenge you're facing?"","
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\default.json","288","    ""We don't cover that ? but we do help businesses get more clients and build better systems. What are you working on?"""
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\default.json","324","    ""website"", ""site"", ""seo"", ""google"", ""ranking"", ""traffic"","
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\default.json","326","    ""clients"", ""customers"", ""leads"", ""revenue"", ""sales"", ""grow"","
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\default.json","327","    ""growth"", ""business"", ""agency"", ""ads"", ""social"", ""brand"","
"C:\Users\Public\OFFICIAL PROJECTS (DEVELOPMENT)\ai-voice-assistent\configs\default.json","342","  ""qualification_fields"": [""name"", ""goal"", ""problem"", ""business"", ""timeline""],"
